Cuenta,Contacto,Puesto,Celular,Correo_electronico,Stage,Visitas_Web,Emails_Abiertos,Llamadas_Realizadas,Presupuesto_Estimado,Sector,Tamaño_Empresa,Antiguedad_Cuenta_Meses,Interacciones_Totales,Cliente
Mann Inc,Raymond Jackson,Ejecutivo de Ventas,875798154,warddavid@example.org,closing,6,1,0,3844,Servicios,Mediana,37,7,0
"Manning, Paul and Clark",Mark Duffy,Consultor,812627373,colin16@example.com,closing,7,4,0,5131,Educación,Pequeña,30,11,0
Bush Inc,Suzanne Finley,Especialista de Producto,215138454,edwardcopeland@example.com,closing,4,2,1,24479,Retail,Mediana,42,7,0
Heath-Martinez,Amber King,Ejecutivo de Ventas,003839672,samanthalee@example.org,closing,5,1,0,28169,Salud,Pequeña,10,6,0
Johnson Ltd,Christopher Martin,Especialista de Producto,197264296,richardwalker@example.com,qualifying,1,2,0,48030,Educación,Pequeña,1,3,0
Smith and Sons,Phillip Norman,Ejecutivo de Ventas,672057379,travispayne@example.com,selling,3,1,0,32190,Salud,Mediana,17,4,0
"Parrish, Cunningham and Fleming",Karen Smith,Consultor,174315264,rpatterson@example.com,closing,3,6,0,30763,Salud,Pequeña,4,9,0
"Ford, Davis and Church",Michele Tate,Gerente de Marketing,607574609,smithabigail@example.net,qualifying,3,2,1,33236,Retail,Pequeña,38,6,0
Frank and Sons,Jessica Clark,Especialista de Producto,100852748,fosteralan@example.net,qualifying,2,2,1,35552,Tecnología,Pequeña,2,5,0
Brown-Singleton,Ricky Hancock,Gerente de Marketing,261422847,olivia36@example.net,negotiating,2,2,2,28142,Retail,Grande,11,6,0
Holden PLC,Kevin Olson,Analista,726563915,aaron00@example.com,negotiating,2,1,0,26806,Retail,Pequeña,29,3,0
Perez-Hess,Sarah Moore,Consultor,529894007,henryleonard@example.org,closing,3,1,0,1164,Manufactura,Mediana,11,4,0
Turner-Davis,Eileen Pierce,CTO,343851007,nathandavis@example.org,closing,4,1,0,3075,Servicios,Mediana,5,5,0
Anderson Group,Melinda Alexander,Gerente de Marketing,695375406,oreid@example.com,closing,0,1,1,46838,Educación,Mediana,15,2,0
Johnston-Allen,Cristian Hill,Gerente de Marketing,709356557,elizabethburke@example.com,qualifying,1,0,0,41554,Salud,Mediana,15,1,0
Gonzalez-Wiggins,Joseph Brown,Analista,722464579,michaelwilkinson@example.net,qualifying,4,0,0,6040,Tecnología,Pequeña,25,4,0
Robinson-Johnson,Betty Preston,Especialista de Producto,365798914,carolyn22@example.com,qualifying,2,4,0,22037,Educación,Mediana,34,6,0
Robinson Inc,Daniel Townsend,Especialista de Producto,617984489,rparker@example.net,closing,7,2,0,29101,Tecnología,Pequeña,20,9,0
Lee Group,Chad Wright,Ejecutivo de Ventas,052954384,sheila82@example.net,closing,8,0,1,5676,Salud,Mediana,9,9,0
Smith LLC,Elizabeth Bennett,CTO,168903763,huntamy@example.com,closing,0,2,0,10232,Servicios,Mediana,41,2,0
"Kidd, Cooper and Osborne",David Watkins,Analista,343281313,andrewpotter@example.org,negotiating,3,2,0,5918,Educación,Grande,42,5,0
"Williams, Robertson and Washington",William Perez,CTO,589754522,christinastrickland@example.com,closing,1,1,2,30696,Servicios,Grande,42,4,0
"Carney, Perry and Park",Traci Rodriguez,CEO,972463908,jamesyoung@example.net,negotiating,1,2,0,22187,Tecnología,Pequeña,22,3,0
King-Lynch,Dawn Miles,Consultor,499370426,zvillarreal@example.net,selling,6,4,0,29628,Manufactura,Pequeña,7,10,0
Martin-Perez,Travis Simpson,Gerente de Marketing,008286716,alyssa96@example.org,qualifying,4,4,1,7603,Servicios,Pequeña,35,9,0
Walker PLC,Justin Evans,Consultor,138433213,jessica29@example.com,negotiating,5,3,2,45072,Educación,Pequeña,12,10,0
Lopez-Hayes,Thomas Barron Jr.,Ejecutivo de Ventas,857965102,brewermichelle@example.net,selling,5,6,2,38530,Tecnología,Grande,28,13,0
"Wilson, Marshall and Robertson",April Hughes,Especialista de Producto,584172782,hillchad@example.org,selling,2,1,1,45375,Educación,Pequeña,22,4,0
"Haas, Hanson and Garcia",Victor Allen,CTO,638495440,amyromero@example.org,qualifying,1,3,0,36214,Retail,Pequeña,27,4,0
Sellers-Hester,Breanna Leblanc,Consultor,548411302,kimberly27@example.net,closing,6,0,1,24066,Retail,Pequeña,36,7,0
Archer LLC,Tyler Myers,CEO,088290833,linda84@example.net,closing,6,1,0,21613,Servicios,Pequeña,29,7,0
"Hensley, Beasley and Mcdaniel",Caleb Terry,Gerente de Marketing,830966019,woodsarah@example.net,closing,2,1,1,18164,Retail,Grande,13,4,0
Roach LLC,Nichole Brown,Consultor,309430696,monica70@example.net,closing,5,3,1,30912,Servicios,Grande,22,9,0
Reed-Terry,Dr. Hunter Osborne,Especialista de Producto,115417706,victoriarose@example.net,selling,5,0,0,22095,Retail,Mediana,43,5,0
Lester-Wilcox,Pamela Silva,Consultor,195406385,rodgerstabitha@example.org,qualifying,7,4,4,18717,Manufactura,Mediana,2,15,0
"Jackson, Morales and Ford",Justin Salinas,Ejecutivo de Ventas,118502177,john59@example.com,qualifying,1,0,1,28082,Tecnología,Pequeña,31,2,0
Miller-Miller,Sara Rose,Especialista de Producto,827356232,taylorjohnson@example.org,selling,6,4,0,6775,Manufactura,Pequeña,34,10,0
"Torres, Mcpherson and Thomas",Manuel Warner,Analista,167443129,autumnlove@example.org,negotiating,3,1,2,38143,Salud,Mediana,34,6,0
Fleming Ltd,Mike Wallace,Consultor,187446195,kimdavid@example.net,selling,6,6,0,2073,Educación,Pequeña,25,12,0
Burke Inc,Danielle Duffy,Consultor,829827433,smithnancy@example.org,qualifying,7,1,1,23317,Manufactura,Mediana,29,9,0
"Lowery, Brown and Mullins",John Russell,CEO,693834240,ingrammatthew@example.org,closing,5,3,0,3837,Retail,Mediana,18,8,0
"Lewis, Stephens and Moore",Valerie Crosby,Gerente de Marketing,352650347,andrewlee@example.net,closing,5,2,1,10528,Retail,Pequeña,3,8,0
Taylor-Brown,Antonio Reyes,CEO,274644918,katie61@example.net,qualifying,3,4,0,29716,Educación,Grande,20,7,0
"Acosta, Calderon and Vargas",Shannon Knight,Analista,649556132,erikzimmerman@example.org,qualifying,4,1,0,46069,Servicios,Mediana,2,5,0
Brown Group,Nicholas Walter,CTO,868377556,mmccarthy@example.org,selling,2,4,0,3471,Educación,Pequeña,42,6,0
Chang-Reed,Sharon Cunningham,Especialista de Producto,927302945,blakeriggs@example.com,negotiating,0,3,0,45034,Manufactura,Pequeña,10,3,0
Estrada Group,Julie Best,Consultor,800270669,sharonadams@example.org,selling,2,0,2,26659,Educación,Mediana,33,4,0
Jimenez Group,Bryan Roberts,Ejecutivo de Ventas,184465709,billy83@example.net,negotiating,5,1,0,25230,Salud,Pequeña,21,6,0
Villarreal PLC,Meagan Young,CEO,474725820,floydantonio@example.org,selling,1,3,1,43120,Retail,Mediana,28,5,0
Reese LLC,Jeffrey Lawrence,Especialista de Producto,618344251,jorge51@example.net,qualifying,4,4,0,36224,Educación,Pequeña,47,8,0
"Garcia, Bowen and Wong",Michele Randall,Especialista de Producto,249301106,kyle14@example.net,closing,6,3,0,47011,Manufactura,Mediana,35,9,0
Bullock-Buckley,Megan Bell,CEO,029469178,qtaylor@example.org,closing,1,0,0,48178,Educación,Mediana,6,1,0
Phillips PLC,Nicholas Foster,Especialista de Producto,117636135,kyle72@example.net,negotiating,6,2,0,39192,Tecnología,Grande,24,8,0
"Strong, Deleon and Dennis",Angela Underwood,Analista,995756811,jeffrey29@example.org,closing,0,6,0,48702,Tecnología,Pequeña,22,6,0
Clements Ltd,Amber Burns,CTO,839373345,belindarichardson@example.org,qualifying,2,2,0,15091,Manufactura,Grande,7,4,0
Reid-Baker,Joseph Hall,Ejecutivo de Ventas,329187392,marcthomas@example.com,selling,3,4,0,39789,Educación,Grande,13,7,0
Boyer-Anderson,Ashley Brown,Consultor,278355137,alvaradojames@example.net,closing,4,2,1,14320,Retail,Pequeña,8,7,0
Moore and Sons,Michael Hart,Gerente de Marketing,430343493,deborahcox@example.net,negotiating,3,3,1,39780,Salud,Grande,28,7,0
Cabrera PLC,Melinda Nelson,CTO,682098463,georgepope@example.org,closing,1,2,0,11004,Tecnología,Grande,15,3,0
Miller Inc,Taylor Wright,CTO,467202964,lopezjoseph@example.net,selling,3,3,0,19069,Salud,Pequeña,33,6,0
Riley-Miller,Anna Jacobs,CEO,366111945,william05@example.org,qualifying,1,1,0,23166,Manufactura,Mediana,7,2,0
Dominguez-Miller,Mark Taylor,Analista,509404103,xgomez@example.net,negotiating,7,2,0,46080,Retail,Mediana,35,9,0
Flores-Hernandez,Paula Cabrera,Gerente de Marketing,750390735,yhood@example.net,qualifying,4,0,2,22030,Salud,Grande,16,6,0
Stanley-Patton,James Ellis,Consultor,770133691,donald53@example.org,closing,3,4,1,5225,Educación,Mediana,23,8,0
"Curtis, Sanchez and Schmidt",Gabrielle Leonard,Ejecutivo de Ventas,867963023,dsmith@example.org,selling,0,0,0,39723,Retail,Mediana,17,0,0
Fisher Ltd,Susan Smith,Gerente de Marketing,911885997,donaldadams@example.com,closing,1,4,3,23222,Salud,Pequeña,24,8,0
Mason Ltd,Diane Craig,Ejecutivo de Ventas,180961101,richardbrooks@example.net,qualifying,7,4,0,5867,Retail,Pequeña,4,11,0
"Hernandez, Martinez and Kennedy",Jasmine Jones,CEO,650258609,alicia57@example.net,closing,1,3,0,19176,Tecnología,Grande,3,4,0
"West, Hogan and Kramer",Lisa Bullock,Gerente de Marketing,984819818,zali@example.org,qualifying,0,4,2,18957,Salud,Pequeña,20,6,0
Woods and Sons,Paul Shepard,Especialista de Producto,722696673,fbeltran@example.net,closing,5,3,0,33713,Manufactura,Mediana,21,8,0
Meyer-Reynolds,Brandon Williams,Ejecutivo de Ventas,553306675,cmcintosh@example.org,closing,5,0,3,26533,Servicios,Pequeña,46,8,0
"Taylor, Marshall and Short",Dennis Short,Consultor,143457724,fordjames@example.org,selling,4,0,0,30825,Salud,Pequeña,35,4,0
Butler-Mendez,Laura Burgess,Especialista de Producto,049353705,salasveronica@example.net,closing,3,1,0,884,Servicios,Pequeña,38,4,0
"Norris, Johnson and Jackson",Richard Morrison,Analista,016243760,ryan33@example.com,closing,1,1,0,25234,Manufactura,Mediana,14,2,0
"Frey, Lopez and Trujillo",James Collier,CEO,838106678,oconnelljasmine@example.com,negotiating,1,1,1,46115,Tecnología,Mediana,8,3,0
"Hayes, Weaver and Walsh",Thomas Davis,Analista,262786898,garrettcheryl@example.org,selling,5,1,0,36672,Educación,Mediana,23,6,0
Anderson-Padilla,Julie Yang,CTO,023896825,james29@example.net,qualifying,3,0,2,5347,Educación,Pequeña,39,5,0
"Caldwell, Vincent and Cox",Andrew Berry,Ejecutivo de Ventas,246581744,greeves@example.com,negotiating,1,2,0,29939,Servicios,Mediana,20,3,0
"Johnson, Macdonald and Harmon",William Khan,CTO,017429258,mike15@example.com,selling,5,2,0,9642,Manufactura,Pequeña,16,7,0
"Wells, Holt and Martinez",Daniel Clark,Analista,663590667,kennedyjohn@example.com,selling,1,0,1,30236,Salud,Mediana,10,2,0
"Johnston, Banks and Fuller",David Moody,Especialista de Producto,098805495,brownbryan@example.org,selling,6,0,1,12062,Tecnología,Grande,43,7,0
"Nguyen, Nelson and Flynn",Mary Gonzalez,Ejecutivo de Ventas,543627010,matthewmiller@example.net,closing,5,1,0,30874,Salud,Pequeña,26,6,0
"Smith, Nichols and Jackson",Keith Smith,CTO,867783898,michaellloyd@example.com,qualifying,5,3,0,12543,Retail,Mediana,26,8,0
"Edwards, Williams and Chen",Victor Davis,Consultor,432672985,jefferyrhodes@example.net,closing,4,3,2,20721,Tecnología,Mediana,16,9,0
Mckay PLC,Marissa Ellis,Consultor,123660493,pateljenna@example.com,closing,3,1,1,36975,Manufactura,Pequeña,18,5,0
"Pacheco, Bailey and Chan",Elizabeth Mcdonald,CTO,650897983,farrelljennifer@example.net,selling,2,2,0,48535,Servicios,Pequeña,41,4,0
Berry Group,Mark Jones,Ejecutivo de Ventas,162433458,carla26@example.net,closing,7,3,0,44449,Servicios,Pequeña,35,10,0
Harris-Reed,Craig Greene,Ejecutivo de Ventas,017719931,mdixon@example.org,selling,3,2,1,49169,Retail,Pequeña,20,6,0
"Chan, Estrada and Hernandez",Kyle Hanson,Especialista de Producto,371246202,evansbruce@example.com,qualifying,0,3,0,51576,Manufactura,Grande,38,3,0
Cruz PLC,Kenneth Williams,CTO,392378382,colleen72@example.com,qualifying,6,0,1,20765,Servicios,Mediana,28,7,0
Brown-Preston,Rachel Blair,Gerente de Marketing,420488633,lpalmer@example.com,selling,7,1,0,45951,Manufactura,Grande,18,8,0
"Webster, Pierce and Barber",Julie Holland,Gerente de Marketing,996486287,meagan19@example.com,qualifying,2,3,3,45783,Educación,Pequeña,36,8,1
Zuniga Ltd,Stephanie Wilson,Analista,382748195,craigbrown@example.net,closing,3,3,1,33618,Educación,Pequeña,5,7,0
Richardson Ltd,Kathleen Hoffman,Gerente de Marketing,356387368,pamela82@example.org,closing,2,5,0,26647,Salud,Mediana,41,7,0
Delgado LLC,Cameron Taylor,Gerente de Marketing,278662259,kenneth32@example.org,negotiating,5,3,1,35992,Educación,Grande,9,9,0
"Walsh, Norris and Howard",Lawrence Daniels,CTO,610656733,millerlucas@example.com,qualifying,1,0,0,43730,Servicios,Pequeña,12,1,0
Bowen-Gaines,Mrs. Jessica Jennings MD,CTO,826675101,jeffrey91@example.org,negotiating,2,4,0,6654,Manufactura,Grande,17,6,0
Powell-Marks,Christian Ramos,Ejecutivo de Ventas,664091693,jerrygonzales@example.net,qualifying,4,2,1,19150,Salud,Pequeña,9,7,0
Roberts Group,Barbara Stevens,Consultor,890212897,eedwards@example.net,selling,0,1,0,49420,Manufactura,Mediana,8,1,0
"Snyder, Walker and Harris",Robin Adams,Analista,626393436,theresa39@example.com,qualifying,4,2,0,48753,Tecnología,Pequeña,40,6,1
"Jensen, Thomas and Carter",Jasmine Bryant,CTO,902403520,scott13@example.net,qualifying,5,3,0,35181,Educación,Grande,47,8,0
Cortez Inc,Katherine Bishop,CTO,606764441,amycollins@example.org,selling,2,0,1,48576,Tecnología,Pequeña,11,3,0
"Brown, Mann and Barnes",Amanda Martin,Analista,623633141,xwheeler@example.net,negotiating,2,4,0,28648,Tecnología,Mediana,8,6,0
"Hodges, Howard and Russell",Samantha Molina,Ejecutivo de Ventas,046128151,david40@example.net,closing,2,0,0,32236,Manufactura,Pequeña,24,2,0
Weaver Ltd,Barbara Wilkerson,Especialista de Producto,009578545,hgibbs@example.org,qualifying,1,3,0,24973,Salud,Grande,20,4,0
"Brown, Pacheco and Robinson",Jeffery Valdez,Consultor,569485951,dmiles@example.com,selling,8,1,1,41690,Retail,Pequeña,11,10,0
"Lee, Stein and Hayes",Alexis Porter,Analista,021737339,guerrerosherry@example.net,closing,3,4,0,23409,Servicios,Pequeña,30,7,0
Watkins Inc,Monica Khan,CEO,156242060,abutler@example.com,closing,7,0,0,3120,Manufactura,Grande,11,7,0
"Chung, Garner and Jimenez",Thomas Blackwell,CTO,448386074,brianawatson@example.net,selling,4,3,0,10602,Servicios,Mediana,22,7,0
Perez Inc,William Koch,Gerente de Marketing,125965574,chrissmith@example.com,qualifying,8,2,0,49629,Tecnología,Mediana,10,10,0
"Love, Stewart and Jacobson",Ashley Williams,Gerente de Marketing,753224681,bsanchez@example.com,selling,4,6,0,21145,Servicios,Pequeña,26,10,0
Glenn-Kaiser,Gabriel Gillespie,Gerente de Marketing,523090535,tammy20@example.com,closing,2,2,2,35234,Tecnología,Pequeña,10,6,0
"Reynolds, Roach and Moore",Steven Clark,Gerente de Marketing,388739362,zmorales@example.org,selling,4,2,2,24366,Servicios,Pequeña,45,8,0
"Miller, Terrell and Brown",Todd Elliott,Especialista de Producto,416816317,wilcoxduane@example.com,closing,5,2,0,22430,Retail,Grande,36,7,0
"Webb, Li and Evans",Alicia Fernandez,Gerente de Marketing,352268753,wilsonkelly@example.org,negotiating,3,3,2,20766,Servicios,Mediana,9,8,0
Matthews-Johnson,Samantha Harris,CEO,705899612,destiny59@example.com,negotiating,5,4,3,49802,Educación,Pequeña,11,12,0
Bailey-Patterson,Kristen Martin,Gerente de Marketing,469090695,lisaflores@example.com,qualifying,3,0,0,42150,Manufactura,Mediana,11,3,0
King LLC,Jamie Aguilar,CEO,387114329,dawn64@example.org,qualifying,5,0,3,47796,Salud,Mediana,15,8,0
Hall and Sons,Noah Williams,Especialista de Producto,849580655,nicolerichards@example.com,qualifying,1,3,0,5357,Tecnología,Pequeña,4,4,0
Wilson-Lane,Ralph Murray,CTO,240765041,lucassmith@example.com,qualifying,2,3,2,12119,Educación,Pequeña,2,7,0
Grant Group,Tonya Baxter,CEO,445944699,hansenkaitlyn@example.com,selling,6,1,1,3044,Retail,Pequeña,15,8,0
"Foley, Watson and Flores",Rachel Jones,Analista,041259756,timothyvazquez@example.com,qualifying,5,1,1,50142,Manufactura,Pequeña,45,7,0
"Vasquez, Stone and Green",Jermaine French,Consultor,747169904,johnsonmatthew@example.org,selling,1,0,0,35892,Manufactura,Pequeña,45,1,0
Ramirez-Davis,Bonnie Callahan,CEO,818771463,carla32@example.com,qualifying,3,4,1,17646,Servicios,Grande,47,8,0
Mann Inc,Jesus Brown,Gerente de Marketing,700886008,ldrake@example.org,closing,2,2,1,48989,Tecnología,Pequeña,29,5,1
Evans LLC,Barbara Delgado,Gerente de Marketing,147366692,sweeneymathew@example.org,negotiating,4,0,0,16283,Servicios,Pequeña,12,4,0
Martinez and Sons,Heather Ward,Gerente de Marketing,071282611,thomasbrenda@example.net,selling,1,2,0,30942,Salud,Grande,8,3,0
Black Ltd,Sarah Jennings,Consultor,772429543,kwalter@example.org,closing,5,0,1,45059,Salud,Mediana,15,6,1
"Hunter, Garrison and Miller",Julie Blair,Ejecutivo de Ventas,455056420,samantha28@example.net,negotiating,3,3,0,12645,Salud,Pequeña,1,6,0
"Ferguson, Smith and Gonzalez",Rachel Huber MD,Gerente de Marketing,169444943,wadams@example.net,selling,3,5,1,6416,Salud,Pequeña,33,9,0
"Molina, Kim and Wiggins",Dr. Tonya Smith,Consultor,030682812,justin17@example.org,negotiating,0,4,2,11895,Retail,Mediana,1,6,0
Moss-Parker,Duane Richards,CEO,237930735,timothy93@example.com,closing,3,1,1,7263,Manufactura,Pequeña,39,5,0
"Bradley, Briggs and Smith",Arthur Matthews,Ejecutivo de Ventas,162609412,david13@example.com,selling,5,2,0,19716,Manufactura,Mediana,25,7,0
West Ltd,Phillip Park,Especialista de Producto,077235983,jhanna@example.com,selling,3,0,0,41808,Tecnología,Pequeña,2,3,0
Mcmillan-Jordan,Jeffrey Lynn,Consultor,183825641,adavis@example.org,selling,4,0,0,36099,Servicios,Mediana,17,4,0
"Burch, King and Adkins",Donald Jones,Gerente de Marketing,915871972,wyoung@example.net,closing,4,0,0,15411,Manufactura,Mediana,4,4,0
Miller-Meza,Lauren Murphy,CEO,732714635,ryan86@example.org,negotiating,7,0,0,20300,Servicios,Pequeña,39,7,0
"Pitts, Miller and White",Kathryn Perry,Especialista de Producto,885849208,ethanramos@example.org,selling,4,0,0,35332,Servicios,Grande,20,4,0
Morrow-Thompson,Jenna Walton,CTO,028229969,lisamiller@example.net,qualifying,8,0,1,40396,Salud,Pequeña,26,9,0
Larsen Inc,Kristina Velez,Especialista de Producto,996080017,dorothyjohnston@example.net,qualifying,1,3,1,1925,Tecnología,Grande,43,5,0
"Dyer, Hall and Hall",Kelly Parker,Gerente de Marketing,102170240,maria37@example.com,negotiating,6,0,0,40038,Servicios,Mediana,5,6,0
Porter-Moore,Colleen Graham,CEO,134368442,lisacontreras@example.org,negotiating,4,2,1,681,Tecnología,Grande,32,7,0
Foster-Rose,Sierra Mccoy,Analista,399326006,lcraig@example.net,qualifying,3,3,1,6807,Manufactura,Pequeña,11,7,0
"Reid, Huerta and Gomez",Betty Lee,Gerente de Marketing,819562094,angelahamilton@example.net,closing,4,1,1,52159,Servicios,Mediana,7,6,0
Thomas-Mcdowell,Adam Khan,Especialista de Producto,868918192,joseph84@example.net,qualifying,2,0,0,26541,Tecnología,Pequeña,9,2,0
"Singh, Glenn and Barnes",Manuel Washington,Consultor,153081366,andersonkenneth@example.net,negotiating,3,1,1,47475,Salud,Pequeña,15,5,0
Conrad LLC,Michael Ward,Consultor,170885481,cassandra09@example.com,negotiating,3,2,5,46982,Retail,Mediana,15,10,0
Fox-Johnson,Darryl Waters,CTO,750401280,erinleblanc@example.com,qualifying,3,2,0,42806,Retail,Mediana,6,5,0
"Day, Butler and Luna",Lauren Harmon,Analista,961733708,ggood@example.com,qualifying,0,2,2,24337,Manufactura,Pequeña,3,4,0
"Larsen, Thompson and Reynolds",Larry Lawson,CTO,103424996,ypark@example.net,selling,4,2,0,22385,Retail,Mediana,15,6,0
Nelson Group,Susan Patrick,Analista,132630150,bradleyhernandez@example.org,negotiating,1,1,0,10552,Tecnología,Pequeña,25,2,0
Watts Ltd,John Crawford,Analista,166147144,thomas29@example.com,selling,3,1,2,12457,Retail,Pequeña,31,6,0
"Hamilton, Norman and Hubbard",Andrew Harper,Especialista de Producto,539327170,rachel78@example.com,negotiating,1,1,0,24888,Tecnología,Grande,37,2,0
Walker Inc,Mr. Corey Hanson,Consultor,905670297,michael48@example.com,qualifying,5,2,0,15374,Servicios,Mediana,14,7,0
"Nguyen, Morris and Marsh",Abigail Holland,CEO,255955793,ftucker@example.com,qualifying,3,2,0,21731,Educación,Pequeña,17,5,0
Li-Adams,Laurie Bowers,Gerente de Marketing,600423110,xbowen@example.net,qualifying,2,4,0,28082,Tecnología,Grande,47,6,0
"Mullins, Green and Williams",David Hughes,CEO,787288982,smithnancy@example.org,selling,0,3,2,4889,Tecnología,Grande,33,5,0
"Gonzalez, Silva and Smith",Maria Rojas,Ejecutivo de Ventas,627684574,katherinebrennan@example.com,closing,4,0,0,24653,Manufactura,Mediana,19,4,0
Valencia Group,Jose Lyons,CEO,645170290,williamsmichele@example.org,negotiating,2,0,1,48007,Educación,Pequeña,2,3,0
"Brown, Parker and Flores",Wendy Robertson,CEO,367047787,whitenicole@example.com,negotiating,2,3,0,18920,Manufactura,Grande,2,5,0
Mullins-Smith,Peter Ayala,Ejecutivo de Ventas,276128635,kellyrobert@example.com,selling,5,0,0,38265,Tecnología,Mediana,31,5,0
"Stevenson, Anderson and Lowery",Mr. Joel Duke,Consultor,690498026,wilkinsonmadison@example.org,qualifying,6,2,0,3828,Manufactura,Mediana,47,8,0
"Bishop, Murphy and Brennan",Kimberly Smith,Consultor,405818991,vincentmichael@example.net,qualifying,8,2,0,24618,Manufactura,Pequeña,17,10,0
Garcia and Sons,Martha Robertson,Consultor,525510683,johnsonkarina@example.net,negotiating,6,0,1,3679,Tecnología,Grande,41,7,0
Vargas-Young,Andrew Shaw,Ejecutivo de Ventas,851909104,feliciamartin@example.net,closing,2,3,1,6661,Servicios,Mediana,26,6,0
Clark Group,Terry Lamb,Consultor,616115756,torresbrandon@example.org,closing,2,2,0,26987,Educación,Pequeña,40,4,0
"Higgins, Howard and Johnson",Andrew Daugherty,Ejecutivo de Ventas,491453121,floyddonna@example.org,selling,3,0,0,2780,Manufactura,Mediana,30,3,0
Lewis-Wilson,Tammy Green,Gerente de Marketing,449510185,wilsonjacqueline@example.org,qualifying,4,1,0,42451,Manufactura,Pequeña,11,5,0
Wilkerson-Harrington,Donald Mclean,CEO,037597274,kingjessica@example.com,qualifying,4,5,0,29556,Retail,Pequeña,16,9,0
"Smith, Burnett and Nelson",Dakota Smith,CTO,927311668,gonzalezarthur@example.com,selling,7,4,1,23899,Salud,Mediana,22,12,0
"Love, Martinez and Bryant",Ray Soto,CTO,750161909,bradleynicholas@example.org,selling,3,1,0,44522,Manufactura,Grande,38,4,0
"Green, Ruiz and Hernandez",Juan Montoya,Especialista de Producto,281047336,brownmark@example.net,negotiating,3,3,0,41799,Manufactura,Mediana,46,6,0
"Cortez, Miller and Carroll",Laura Rodgers,Gerente de Marketing,483195235,warrencummings@example.com,qualifying,2,2,1,27867,Educación,Pequeña,2,5,0
Lee Ltd,Marcus White,Ejecutivo de Ventas,477049335,fshepherd@example.org,negotiating,5,4,0,37486,Salud,Mediana,4,9,0
Howard-Delacruz,Debra Schwartz,CEO,878701881,qbishop@example.org,selling,0,0,0,14926,Salud,Grande,6,0,0
Griffith-Doyle,Matthew Chase,Ejecutivo de Ventas,861427359,rcoleman@example.net,selling,2,4,0,8968,Tecnología,Pequeña,34,6,0
Davis LLC,Jessica Maddox,Gerente de Marketing,077800618,jandrade@example.org,selling,4,2,1,14326,Educación,Mediana,8,7,0
Malone-Curtis,Jeffrey Carter,Especialista de Producto,015984555,gregoryjones@example.net,qualifying,8,0,0,41745,Educación,Mediana,31,8,0
Fisher-Morgan,Kristin Craig,Consultor,451515675,theresaclark@example.net,negotiating,4,5,2,36075,Salud,Mediana,8,11,0
"George, Williams and Robinson",Amanda Watson,CEO,918064612,mary95@example.net,closing,5,2,1,14070,Salud,Mediana,11,8,0
Johnston PLC,Kathryn Blackwell,Ejecutivo de Ventas,521323747,underwoodjason@example.com,qualifying,4,4,0,23558,Educación,Mediana,10,8,0
Morrow-Schneider,Amy Parsons,Especialista de Producto,288797053,dmarshall@example.org,selling,4,3,1,5555,Tecnología,Mediana,24,8,0
"Barry, Moore and Carroll",Tammy Smith,Consultor,827623837,robincontreras@example.com,closing,7,4,1,3974,Educación,Pequeña,42,12,0
"Norris, Adams and Myers",Wayne Green,CEO,382064107,wesleymcbride@example.net,closing,4,2,1,30207,Servicios,Grande,13,7,0
Miller Group,Christopher Carson,Gerente de Marketing,183578417,greenalan@example.com,negotiating,2,0,0,38131,Retail,Pequeña,16,2,0
"Clark, Lewis and Austin",Jessica Collins,Gerente de Marketing,123872251,michael36@example.com,closing,6,3,1,31834,Tecnología,Mediana,11,10,0
Smith-Jones,Richard Bowman,CTO,773494052,kristifoster@example.com,closing,6,0,0,2791,Manufactura,Pequeña,13,6,0
Williams-Davidson,Michelle Howell,Analista,524520194,rhondawoodward@example.com,closing,6,1,1,27743,Servicios,Pequeña,45,8,0
"Mcclain, Yang and Haynes",Deborah Anderson,Ejecutivo de Ventas,926698663,sotoalicia@example.com,selling,4,4,1,27390,Educación,Pequeña,45,9,0
"Martinez, Thomas and Nelson",David Thompson,Ejecutivo de Ventas,927914560,montgomerymichelle@example.net,selling,3,4,1,41530,Educación,Pequeña,36,8,1
Jimenez-Wolfe,Robert Mueller,CEO,689820680,marshallbradley@example.com,negotiating,6,2,0,24816,Servicios,Mediana,15,8,0
Mason Inc,Mary Callahan,Ejecutivo de Ventas,175356403,kgarcia@example.org,negotiating,5,0,0,43798,Retail,Pequeña,2,5,0
Smith-Jones,Tina Bradshaw,Especialista de Producto,520819854,patriciawilliams@example.org,selling,6,3,0,9062,Servicios,Pequeña,13,9,0
Neal-Gilbert,Harold Ramos,Consultor,717159183,ojackson@example.net,closing,1,3,1,11022,Educación,Pequeña,7,5,0
Cox PLC,Christina Castillo,Gerente de Marketing,255895213,jacksontracey@example.com,qualifying,6,2,0,46708,Retail,Mediana,38,8,0
Singh-Hogan,Deborah Ruiz,Especialista de Producto,635268965,whess@example.com,closing,7,5,4,43629,Retail,Grande,11,16,0
Miranda-Coleman,Stephen Barnett,Ejecutivo de Ventas,733057118,kcurtis@example.org,qualifying,0,1,1,21889,Educación,Mediana,47,2,0
Miller-Mcmillan,Kevin Norris,Gerente de Marketing,280921479,tmurphy@example.net,selling,0,3,0,38491,Educación,Pequeña,23,3,0
Thomas and Sons,Jodi Moore,Gerente de Marketing,254669797,russellricky@example.com,closing,3,1,0,20236,Educación,Grande,3,4,0
